artigoEmPeriodico	Carlos Augusto do Nascimento Oliveira	2017	http://dx.doi.org/10.4028/www.scientific.net/msf.899.361	Secondary Hardening of an AISI M3:2 High Speed Steel Sinter 23 Hot Isostatic Pressed	MATERIALS SCIENCE FORUM (ONLINE)	DE ARAÚJO FILHO, OSCAR OLIMPIO ; GONZALEZ, Cezar Henrique ; URTIGA FILHO, Severino Leopoldino ; OLIVEIRA, C.A.N. ; SILVA, NOELLE D?EMERY GOMES ; AMBROZIO FILHO, F.	Qualis nao identificado	MATERIALS SCIENCE FORUM (ONLINE)
artigoEmPeriodico	Carlos Augusto do Nascimento Oliveira	2016		Influence of Heat Treatment on Martensitic Transformations in Copper-Based Alloys with Shape Memory Effect	Materials Science Forum (Online)	SILVA, L. C. S. ; GONZALEZ, C. H. ; OLIVEIRA, CARLOS AUGUSTO DO NASCIMENTO ; SILVA, K. C. A.	Qualis nao identificado	Materials Science Forum (Online)
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2018		22nd European Conference on Fracture	22nd European Conference on Fracture	FURUTA, Y. ; NISHIZONO, Y. ; AIHARA, S. ; YANAGIMOTO, F. ; KAWABATA, T. ; SHIBANUMA, K. ; OLIVEIRA, C. A. N. ; SHINOHARA, A. H.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2018		INFLUÊNCIA DOS TRATAMENTOS TÉRMICOS E COMPOSIÇÃO DE LIGA NAS TEMPERATURAS DE TRANSFORMAÇÃO MARTENSÍTICA EM LIGAS NI-TI COM EFEITO MEMÓRIA DE FORMA	X Congresso Nacional de Engenharia Mecânica	CARDOSO, MIRELLA ; GONZALEZ, Cezar Henrique ; OLIVEIRA, C. A. N.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2018		Study of the Dynamic Properties of a SMA Mechanically Shaped by Hot Rolling and ECAE	24nd Congress of Mechanical Engineerin	Barbosa, P. S. S ; SILVA, N. J. ; Gonzalez, C. H. ; OLIVEIRA, C. A. N. ; ARAÚJO, CARLOS JOSÉ DE		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2017		Determinação da incerteza da medição indireta da distância entre centros de plugues de acordo com o novo padrão brasileiro	III SEMANA DAS ENGENHARIAS / II CONGRESSO DE ENGENHARIA.	Oliveira, José Eduardo ; OLIVEIRA, C. A. N.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2017		Estruturação do Software SQUAL AUDITORIAS aplicado à ISO 9001	III SEMANA DAS ENGENHARIAS / II CONGRESSO DE ENGENHARIA	Oliveira, José Eduardo ; OLIVEIRA, C. A. N.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2017		Estudo comparativo do uso dos métodos A1, A2 e Método de Schumacher para o estabelecimento dos intervalos de calibração	III SEMANA DAS ENGENHARIAS / II CONGRESSO DE ENGENHARIA	Oliveira, José Eduardo ; OLIVEIRA, C. A. N.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2017		Aplicação dos métodos A1, A2 e Schumacher no ajuste do intervalo de calibração de célula de torque	Congresso Internacional de Metrologia Mecânica	Oliveira, José Eduardo ; OLIVEIRA, C. A. N.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2017		Utilização de cartas de controle para ajuste de intervalos de calibração	III SEMANA DAS ENGENHARIAS / II CONGRESSO DE ENGENHARIA	Oliveira, Eduardo José Alecio ; M, S. ; Oliveira, José Eduardo ; SENA, D. A. G ; SILVA, N. G ; SOARES, A. M. F. ; MARQUES, J. J. S ; SILVA, A. M. ; ARAUJO, R. P. ; OLIVEIRA, C. A. N.		
